_id,link,text,date,Likes,Comments,sentiment
6625947181aad1cc6b12a1e3,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782165151430635933#m,"חיילים, הניחו את הנשק שלכם ולכו הביתה! לאחר מכן אכלו ארוחת ערב חמה עם כל המשפחה. הישאר קרוב למשפחתך וליקיריך שדואגים לך. הדמויות הראשיות בארץ הן אתה ומשפחתך. לא הנשיא ולא ראש הממשלה. #אוקראינה #רוסיה #עזה #إسرائيل #Ukraine #Russia #Gaza #Israel #Palestine ＃Iran","Apr 21, 2024 · 9:50 PM UTC",0,0,Neutral
6625947181aad1cc6b12a1e4,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782165110808871316#m,"חיילים, הניחו את הנשק שלכם ולכו הביתה! לאחר מכן אכלו ארוחת ערב חמה עם כל המשפחה. הישאר קרוב למשפחתך וליקיריך שדואגים לך. הדמויות הראשיות בארץ הן אתה ומשפחתך. לא הנשיא ולא ראש הממשלה. #אוקראינה #רוסיה #עזה #إسرائيل #Ukraine #Russia #Gaza #Israel #Palestine ＃Iran","Apr 21, 2024 · 9:50 PM UTC",0,0,Neutral
6625947181aad1cc6b12a1e5,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782165078978298054#m,"חיילים, הניחו את הנשק שלכם ולכו הביתה! לאחר מכן אכלו ארוחת ערב חמה עם כל המשפחה. הישאר קרוב למשפחתך וליקיריך שדואגים לך. הדמויות הראשיות בארץ הן אתה ומשפחתך. לא הנשיא ולא ראש הממשלה. #אוקראינה #רוסיה #עזה #إسرائيل #Ukraine #Russia #Gaza #Israel #Palestine ＃Iran","Apr 21, 2024 · 9:50 PM UTC",0,0,Neutral
6625947181aad1cc6b12a1e6,https://twitter.com/JordanWilkieNow/status/1782163637748064425#m,Free Free #Palestine,"Apr 21, 2024 · 9:44 PM UTC",5,0,Positive
6625947181aad1cc6b12a1e7,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782165045792936127#m,"חיילים, הניחו את הנשק שלכם ולכו הביתה! לאחר מכן אכלו ארוחת ערב חמה עם כל המשפחה. הישאר קרוב למשפחתך וליקיריך שדואגים לך. הדמויות הראשיות בארץ הן אתה ומשפחתך. לא הנשיא ולא ראש הממשלה. #אוקראינה #רוסיה #עזה #إسرائيل #Ukraine #Russia #Gaza #Israel #Palestine ＃Iran","Apr 21, 2024 · 9:50 PM UTC",0,0,Neutral
6625947181aad1cc6b12a1e8,https://twitter.com/MujeebRahman2A/status/1782165038171599315#m,"#Israel already going nuclear, according to Pepe. He now has 2 credible sources to back this up.  I'd put nothing past those #zionists.  #WorldWarIII #WWIII #WW3 #Iran #Palestine","Apr 21, 2024 · 9:50 PM UTC",0,0,Positive
6625947181aad1cc6b12a1e9,https://twitter.com/xnewsagency/status/1782165023034356134#m,🔴 #Sondakika Depolardan çıkartılan çok sayıda Rus tankı Ukrayna'ya savaş sahasına sevk ediliyor.  #migros #Amedspor #samimiyseniz #savaş #ElClasico #GSvPS #SarıMelekler #Palestine #Irak #deprem   Serenay Katil Togg #beyazfutbol  Mansur Yavaş Dilek İmamoğlu #GazaWar Erbil Ordu,"Apr 21, 2024 · 9:50 PM UTC",3,0,Neutral
6625947181aad1cc6b12a1ea,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782165012100038724#m,"חיילים, הניחו את הנשק שלכם ולכו הביתה! לאחר מכן אכלו ארוחת ערב חמה עם כל המשפחה. הישאר קרוב למשפחתך וליקיריך שדואגים לך. הדמויות הראשיות בארץ הן אתה ומשפחתך. לא הנשיא ולא ראש הממשלה. #אוקראינה #רוסיה #עזה #إسرائيل #Ukraine #Russia #Gaza #Israel #Palestine ＃Iran","Apr 21, 2024 · 9:50 PM UTC",0,0,Neutral
6625947181aad1cc6b12a1eb,https://twitter.com/GordHawthorne/status/1782164978968981507#m,Israel is lost in a quagmire of it's own creation.  Now the world sees exactly what they are  & Are disniterested in Their indigenous genocide of #Palestine   All shall be revealed  & Israel shall be gone  .,"Apr 21, 2024 · 9:50 PM UTC",0,0,Positive
6625947181aad1cc6b12a1ec,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782164976729489507#m,"חיילים, הניחו את הנשק שלכם ולכו הביתה! לאחר מכן אכלו ארוחת ערב חמה עם כל המשפחה. הישאר קרוב למשפחתך וליקיריך שדואגים לך. הדמויות הראשיות בארץ הן אתה ומשפחתך. לא הנשיא ולא ראש הממשלה. #אוקראינה #רוסיה #עזה #إسرائيل #Ukraine #Russia #Gaza #Israel #Palestine ＃Iran","Apr 21, 2024 · 9:50 PM UTC",0,0,Neutral
